 shadi97kh@Shadis-Air Computer-Vision % /Users/shadi97kh/anaconda3/bin/python /Users/shadi97kh/Documents/Computer-Vision/PA2/testCNN.py
Torch device selected:  cpu
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to ./data/MNIST/raw/train-images-idx3-ubyte.gz
100%|███████████████████████████████████████████████████████████| 9912422/9912422 [00:00<00:00, 36109523.76it/s]
Extracting ./data/MNIST/raw/train-images-idx3-ubyte.gz to ./data/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to ./data/MNIST/raw/train-labels-idx1-ubyte.gz
100%|██████████████████████████████████████████████████████████████| 28881/28881 [00:00<00:00, 168947969.07it/s]
Extracting ./data/MNIST/raw/train-labels-idx1-ubyte.gz to ./data/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw/t10k-images-idx3-ubyte.gz
100%|███████████████████████████████████████████████████████████| 1648877/1648877 [00:00<00:00, 16851094.50it/s]
Extracting ./data/MNIST/raw/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz
100%|█████████████████████████████████████████████████████████████████| 4542/4542 [00:00<00:00, 28908237.89it/s]
Extracting ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw

Train set: Average loss: 0.2619, Accuracy: 55444/60000 (92%)


Test set: Average loss: 0.1450, Accuracy: 9583/10000 (96%)

Train set: Average loss: 0.1204, Accuracy: 57886/60000 (96%)


Test set: Average loss: 0.1115, Accuracy: 9663/10000 (97%)

Train set: Average loss: 0.0858, Accuracy: 58506/60000 (98%)


Test set: Average loss: 0.0995, Accuracy: 9684/10000 (97%)

Train set: Average loss: 0.0660, Accuracy: 58869/60000 (98%)


Test set: Average loss: 0.0862, Accuracy: 9728/10000 (97%)

Train set: Average loss: 0.0526, Accuracy: 59097/60000 (98%)


Test set: Average loss: 0.0807, Accuracy: 9740/10000 (97%)

Train set: Average loss: 0.0425, Accuracy: 59315/60000 (99%)


Test set: Average loss: 0.0785, Accuracy: 9757/10000 (98%)

Train set: Average loss: 0.0345, Accuracy: 59473/60000 (99%)


Test set: Average loss: 0.0856, Accuracy: 9732/10000 (97%)

Train set: Average loss: 0.0281, Accuracy: 59618/60000 (99%)


Test set: Average loss: 0.0795, Accuracy: 9759/10000 (98%)

Train set: Average loss: 0.0229, Accuracy: 59710/60000 (100%)


Test set: Average loss: 0.0713, Accuracy: 9785/10000 (98%)

Train set: Average loss: 0.0189, Accuracy: 59803/60000 (100%)


Test set: Average loss: 0.0721, Accuracy: 9782/10000 (98%)

Train set: Average loss: 0.0153, Accuracy: 59862/60000 (100%)


Test set: Average loss: 0.0756, Accuracy: 9767/10000 (98%)

Train set: Average loss: 0.0128, Accuracy: 59889/60000 (100%)


Test set: Average loss: 0.0698, Accuracy: 9781/10000 (98%)

Train set: Average loss: 0.0110, Accuracy: 59920/60000 (100%)


Test set: Average loss: 0.0705, Accuracy: 9788/10000 (98%)

Train set: Average loss: 0.0092, Accuracy: 59949/60000 (100%)


Test set: Average loss: 0.0717, Accuracy: 9786/10000 (98%)

